PixelName,ClaroNumber,ClaroChanNumber,Efficiency
JBB8,8,7,1.0
JBB7,8,5,1.0
JBB6,8,3,1.0
JBB5,8,1,1.0
JBB4,6,6,1.0
JBB3,6,4,1.0
JBB2,6,2,1.0
JBB1,6,0,1.0
JAB1,4,7,1.0
JAB9,4,5,1.0
JAB17,4,3,1.0
JAB25,4,1,1.0
JAB33,2,6,1.0
JAB41,2,4,1.0
JAB49,2,2,1.0
JAB57,2,0,1.0
JBB16,8,6,1.0
JBB15,8,4,1.0
JBB14,8,2,1.0
JBB13,8,0,1.0
JBB12,6,7,1.0
JBB11,6,5,1.0
JBB10,6,3,1.0
JBB9,6,1,1.0
JAB2,4,6,1.0
JAB10,4,4,1.0
JAB18,4,2,1.0
JAB26,4,0,1.0
JAB34,2,7,1.0
JAB42,2,5,1.0
JAB50,2,3,1.0
JAB58,2,1,1.0
JBB24,7,0,1.0
JBB23,7,2,1.0
JBB22,7,4,1.0
JBB21,7,6,1.0
JBB20,5,0,1.0
JBB19,5,3,1.0
JBB18,5,5,1.0
JBB17,5,7,1.0
JAB3,3,0,1.0
JAB11,3,2,1.0
JAB19,3,4,1.0
JAB27,3,7,1.0
JAB35,1,1,1.0
JAB43,1,3,1.0
JAB51,1,5,1.0
JAB59,1,7,1.0
JBB32,7,1,1.0
JBB31,7,3,1.0
JBB30,7,5,1.0
JBB29,7,7,1.0
JBB28,5,1,1.0
JBB27,5,2,1.0
JBB26,5,4,1.0
JBB25,5,6,1.0
JAB4,3,1,1.0
JAB12,3,3,1.0
JAB20,3,5,1.0
JAB28,3,6,1.0
JAB36,1,0,1.0
JAB44,1,2,1.0
JAB52,1,4,1.0
JAB60,1,6,1.0
JBB40,16,6,1.0
JBB39,16,4,1.0
JBB38,16,2,1.0
JBB37,16,0,1.0
JBB36,14,6,1.0
JBB35,14,5,1.0
JBB34,14,3,1.0
JBB33,14,1,1.0
JAB5,12,6,1.0
JAB13,12,4,1.0
JAB21,12,2,1.0
JAB29,12,1,1.0
JAB37,10,7,1.0
JAB45,10,5,1.0
JAB53,10,3,1.0
JAB61,10,1,1.0
JBB48,16,7,1.0
JBB47,16,5,1.0
JBB46,16,3,1.0
JBB45,16,1,1.0
JBB44,14,7,1.0
JBB43,14,4,1.0
JBB42,14,2,1.0
JBB41,14,0,1.0
JAB6,12,7,1.0
JAB14,12,5,1.0
JAB22,12,3,1.0
JAB30,12,0,1.0
JAB38,10,6,1.0
JAB46,10,4,1.0
JAB54,10,2,1.0
JAB62,10,0,1.0
JBB56,15,1,1.0
JBB55,15,3,1.0
JBB54,15,5,1.0
JBB53,15,7,1.0
JBB52,13,0,1.0
JBB51,13,2,1.0
JBB50,13,4,1.0
JBB49,13,6,1.0
JAB7,11,1,1.0
JAB15,11,3,1.0
JAB23,11,5,1.0
JAB31,11,7,1.0
JAB39,9,0,1.0
JAB47,9,2,1.0
JAB55,9,4,1.0
JAB63,9,6,1.0
JBB64,15,0,1.0
JBB63,15,2,1.0
JBB62,15,4,1.0
JBB61,15,6,1.0
JBB60,13,1,1.0
JBB59,13,3,1.0
JBB58,13,5,1.0
JBB57,13,7,1.0
JAB8,11,0,1.0
JAB16,11,2,1.0
JAB24,11,4,1.0
JAB32,11,6,1.0
JAB40,9,1,1.0
JAB48,9,3,1.0
JAB56,9,5,1.0
JAB64,9,7,1.0
