PixelName,ClaroNumber,ClaroChanNumber,Efficiency
JB8,8,7,0.897781239569867
JB7,8,5,0.937757761754946
JB6,8,3,0.993702859783627
JB5,8,1,0.948457149998585
JB4,6,6,0.997347973942565
JB3,6,4,0.480893861397262
JB2,6,2,0.972363336018235
JB1,6,0,0.5217019422415
JA1,4,7,0.935283632677445
JA9,4,5,0.95526275289161
JA17,4,3,0.974544951169403
JA25,4,1,0.929697846458022
JA33,2,6,0.958390088727188
JA41,2,4,0.694767396746418
JA49,2,2,0.982751749066466
JA57,2,0,0.970424183818323
JB16,8,6,0.892448346720941
JB15,8,4,0.889501360883355
JB14,8,2,0.960150503303867
JB13,8,0,0.920622704717032
JB12,6,7,0.455594566356437
JB11,6,5,0.973566421983313
JB10,6,3,0.961846783903156
JB9,6,1,0.427548145303064
JA2,4,6,0.991421909545267
JA10,4,4,0.977733086611831
JA18,4,2,0.956179593283795
JA26,4,0,0.945128245089106
JA34,2,7,0.944863010038677
JA42,2,5,0.942917785620417
JA50,2,3,0.972762456866381
JA58,2,1,1.00000028665174
JB24,7,0,0.751922928059998
JB23,7,2,0.928698676365685
JB22,7,4,0.90344578220701
JB21,7,6,0.974844467578798
JB20,5,0,0.971200988498757
JB19,5,3,0.939774612124283
JB18,5,5,0.994502396199944
JB17,5,7,0.955015402069043
JA3,3,0,0.999965530010539
JA11,3,2,0.993375696254047
JA19,3,4,0.997060769190477
JA27,3,7,0.500408277772461
JA35,1,1,0.955103327882447
JA43,1,3,0.840393397094676
JA51,1,5,1.00000028665174
JA59,1,7,0.909853239318748
JB32,7,1,0.995611307511238
JB31,7,3,0.999125712845934
JB30,7,5,0.999740420210567
JB29,7,7,0.991561090730543
JB28,5,1,0.99596341639502
JB27,5,2,0.969270297077115
JB26,5,4,0.975951022927677
JB25,5,6,0.972084727889169
JA4,3,1,0.943919892217273
JA12,3,3,0.999679969261329
JA20,3,5,0.967468850157453
JA28,3,6,0.955953207359095
JA36,1,0,0.972864346070722
JA44,1,2,0.916212271452709
JA52,1,4,0.971741806201861
JA60,1,6,0.974974212919028
JB40,16,6,0.999915144305539
JB39,16,4,0.999729380770563
JB38,16,2,1.00000013282644
JB37,16,0,0.537529682746424
JB36,14,6,0.958119683069587
JB35,14,5,0.971075965522791
JB34,14,3,1.00000028665165
JB33,14,1,0.999999586839577
JA5,12,6,0.916014035449507
JA13,12,4,0.624828222927313
JA21,12,2,0.897487829228482
JA29,12,1,0.879498126108906
JA37,10,7,0.9208210629855
JA45,10,5,0.999972638085184
JA53,10,3,0.977849131749444
JA61,10,1,0.949242243787101
JB48,16,7,0.639524043283098
JB47,16,5,0.926782750667149
JB46,16,3,0.961969339245005
JB45,16,1,0.983344223309454
JB44,14,7,0.969168181821702
JB43,14,4,0.999999965644794
JB42,14,2,0.979658301204437
JB41,14,0,0.865365836205939
JA6,12,7,0.914605944540441
JA14,12,5,0.700746608217464
JA22,12,3,0.71786271699439
JA30,12,0,0.818346494834048
JA38,10,6,0.994361429094978
JA46,10,4,0.910113035288444
JA54,10,2,0.999999826470514
JA62,10,0,1.00000028521963
JB56,15,1,0.995817735156724
JB55,15,3,0.989768017427792
JB54,15,5,0.962434887764838
JB53,15,7,0.986307645393519
JB52,13,0,0.999997377614446
JB51,13,2,0.981679828751434
JB50,13,4,0.9995593195762
JB49,13,6,0.971231492357077
JA7,11,1,0.756489611771108
JA15,11,3,0.873266237111017
JA23,11,5,0.926655789948853
JA31,11,7,0.990527272728344
JA39,9,0,0.50117463661614
JA47,9,2,0.963214376420841
JA55,9,4,0.992776842213362
JA63,9,6,0.993418266595117
JB64,15,0,0.77058762520201
JB63,15,2,0.972224389732796
JB62,15,4,0.998896416578486
JB61,15,6,0.801042632830848
JB60,13,1,0.946272024977831
JB59,13,3,0.78772541725041
JB58,13,5,0.960353389185923
JB57,13,7,0.999598328488866
JA8,11,0,0.571887874083041
JA16,11,2,0.613642706278049
JA24,11,4,0.806778556125345
JA32,11,6,0.889372634711821
JA40,9,1,0.891381627886012
JA48,9,3,0.998566516464377
JA56,9,5,0.991310361946143
JA64,9,7,0.986359478056764
