PixelName,ClaroNumber,ClaroChanNumber,Efficiency
JB8,8,7,1.0
JB7,8,5,1.0
JB6,8,3,1.0
JB5,8,1,1.0
JB4,6,6,1.0
JB3,6,4,1.0
JB2,6,2,1.0
JB1,6,0,1.0
JA1,4,7,1.0
JA9,4,5,1.0
JA17,4,3,1.0
JA25,4,1,1.0
JA33,2,6,1.0
JA41,2,4,1.0
JA49,2,2,1.0
JA57,2,0,1.0
JB16,8,6,1.0
JB15,8,4,1.0
JB14,8,2,1.0
JB13,8,0,1.0
JB12,6,7,1.0
JB11,6,5,1.0
JB10,6,3,1.0
JB9,6,1,1.0
JA2,4,6,1.0
JA10,4,4,1.0
JA18,4,2,1.0
JA26,4,0,1.0
JA34,2,7,1.0
JA42,2,5,1.0
JA50,2,3,1.0
JA58,2,1,1.0
JB24,7,0,1.0
JB23,7,2,1.0
JB22,7,4,1.0
JB21,7,6,1.0
JB20,5,0,1.0
JB19,5,3,1.0
JB18,5,5,1.0
JB17,5,7,1.0
JA3,3,0,1.0
JA11,3,2,1.0
JA19,3,4,1.0
JA27,3,7,1.0
JA35,1,1,1.0
JA43,1,3,1.0
JA51,1,5,1.0
JA59,1,7,1.0
JB32,7,1,1.0
JB31,7,3,1.0
JB30,7,5,1.0
JB29,7,7,1.0
JB28,5,1,1.0
JB27,5,2,1.0
JB26,5,4,1.0
JB25,5,6,1.0
JA4,3,1,1.0
JA12,3,3,1.0
JA20,3,5,1.0
JA28,3,6,1.0
JA36,1,0,1.0
JA44,1,2,1.0
JA52,1,4,1.0
JA60,1,6,1.0
JB40,16,6,1.0
JB39,16,4,1.0
JB38,16,2,1.0
JB37,16,0,1.0
JB36,14,6,1.0
JB35,14,5,1.0
JB34,14,3,1.0
JB33,14,1,1.0
JA5,12,6,1.0
JA13,12,4,1.0
JA21,12,2,1.0
JA29,12,1,1.0
JA37,10,7,1.0
JA45,10,5,1.0
JA53,10,3,1.0
JA61,10,1,1.0
JB48,16,7,1.0
JB47,16,5,1.0
JB46,16,3,1.0
JB45,16,1,1.0
JB44,14,7,1.0
JB43,14,4,1.0
JB42,14,2,1.0
JB41,14,0,1.0
JA6,12,7,1.0
JA14,12,5,1.0
JA22,12,3,1.0
JA30,12,0,1.0
JA38,10,6,1.0
JA46,10,4,1.0
JA54,10,2,1.0
JA62,10,0,1.0
JB56,15,1,1.0
JB55,15,3,1.0
JB54,15,5,1.0
JB53,15,7,1.0
JB52,13,0,1.0
JB51,13,2,1.0
JB50,13,4,1.0
JB49,13,6,1.0
JA7,11,1,1.0
JA15,11,3,1.0
JA23,11,5,1.0
JA31,11,7,1.0
JA39,9,0,1.0
JA47,9,2,1.0
JA55,9,4,1.0
JA63,9,6,1.0
JB64,15,0,1.0
JB63,15,2,1.0
JB62,15,4,1.0
JB61,15,6,1.0
JB60,13,1,1.0
JB59,13,3,1.0
JB58,13,5,1.0
JB57,13,7,1.0
JA8,11,0,1.0
JA16,11,2,1.0
JA24,11,4,1.0
JA32,11,6,1.0
JA40,9,1,1.0
JA48,9,3,1.0
JA56,9,5,1.0
JA64,9,7,1.0
