PixelName,ClaroNumber,ClaroChanNumber,Efficiency
SAB8,8,7,1.0
SAB7,8,5,1.0
SAB6,8,3,1.0
SAB5,8,1,1.0
SAB4,6,6,1.0
SAB3,6,4,1.0
SAB2,6,2,1.0
SAB1,6,0,1.0
SBB1,4,7,1.0
SBB9,4,5,1.0
SBB17,4,3,1.0
SBB25,4,1,1.0
SBB33,2,6,1.0
SBB41,2,4,1.0
SBB49,2,2,1.0
SBB57,2,0,1.0
SAB16,8,6,1.0
SAB15,8,4,1.0
SAB14,8,2,1.0
SAB13,8,0,1.0
SAB12,6,7,1.0
SAB11,6,5,1.0
SAB10,6,3,1.0
SAB9,6,1,1.0
SBB2,4,6,1.0
SBB10,4,4,1.0
SBB18,4,2,1.0
SBB26,4,0,1.0
SBB34,2,7,1.0
SBB42,2,5,1.0
SBB50,2,3,1.0
SBB58,2,1,1.0
SAB24,7,0,1.0
SAB23,7,2,1.0
SAB22,7,4,1.0
SAB21,7,6,1.0
SAB20,5,0,1.0
SAB19,5,3,1.0
SAB18,5,5,1.0
SAB17,5,7,1.0
SBB3,3,0,1.0
SBB11,3,2,1.0
SBB19,3,4,1.0
SBB27,3,7,1.0
SBB35,1,1,1.0
SBB43,1,3,1.0
SBB51,1,5,1.0
SBB59,1,7,1.0
SAB32,7,1,1.0
SAB31,7,3,1.0
SAB30,7,5,1.0
SAB29,7,7,1.0
SAB28,5,1,1.0
SAB27,5,2,1.0
SAB26,5,4,1.0
SAB25,5,6,1.0
SBB4,3,1,1.0
SBB12,3,3,1.0
SBB20,3,5,1.0
SBB28,3,6,1.0
SBB36,1,0,1.0
SBB44,1,2,1.0
SBB52,1,4,1.0
SBB60,1,6,1.0
SAB40,16,6,1.0
SAB39,16,4,1.0
SAB38,16,2,1.0
SAB37,16,0,1.0
SAB36,14,6,1.0
SAB35,14,5,1.0
SAB34,14,3,1.0
SAB33,14,1,1.0
SBB5,12,6,1.0
SBB13,12,4,1.0
SBB21,12,2,1.0
SBB29,12,1,1.0
SBB37,10,7,1.0
SBB45,10,5,1.0
SBB53,10,3,1.0
SBB61,10,1,1.0
SAB48,16,7,1.0
SAB47,16,5,1.0
SAB46,16,3,1.0
SAB45,16,1,1.0
SAB44,14,7,1.0
SAB43,14,4,1.0
SAB42,14,2,1.0
SAB41,14,0,1.0
SBB6,12,7,1.0
SBB14,12,5,1.0
SBB22,12,3,1.0
SBB30,12,0,1.0
SBB38,10,6,1.0
SBB46,10,4,1.0
SBB54,10,2,1.0
SBB62,10,0,1.0
SAB56,15,1,1.0
SAB55,15,3,1.0
SAB54,15,5,1.0
SAB53,15,7,1.0
SAB52,13,0,1.0
SAB51,13,2,1.0
SAB50,13,4,1.0
SAB49,13,6,1.0
SBB7,11,1,1.0
SBB15,11,3,1.0
SBB23,11,5,1.0
SBB31,11,7,1.0
SBB39,9,0,1.0
SBB47,9,2,1.0
SBB55,9,4,1.0
SBB63,9,6,1.0
SAB64,15,0,1.0
SAB63,15,2,1.0
SAB62,15,4,1.0
SAB61,15,6,1.0
SAB60,13,1,1.0
SAB59,13,3,1.0
SAB58,13,5,1.0
SAB57,13,7,1.0
SBB8,11,0,1.0
SBB16,11,2,1.0
SBB24,11,4,1.0
SBB32,11,6,1.0
SBB40,9,1,1.0
SBB48,9,3,1.0
SBB56,9,5,1.0
SBB64,9,7,1.0
