PixelName,ClaroNumber,ClaroChanNumber,Efficiency
SA8,8,7,0.999560013933973
SA7,8,5,0.999769528623767
SA6,8,3,1.00000028663178
SA5,8,1,1.00000013018214
SA4,6,6,0.984744092925925
SA3,6,4,0.996527802257355
SA2,6,2,0.999945909188029
SA1,6,0,0.948564112465775
SB1,4,7,0.997602183678685
SB9,4,5,0.995767190841292
SB17,4,3,0.999632275015327
SB25,4,1,0.999603441817057
SB33,2,6,0.996326237745373
SB41,2,4,0.958216462886649
SB49,2,2,1.000000286637
SB57,2,0,0.974152843595268
SA16,8,6,0.955253379596571
SA15,8,4,0.999961794727309
SA14,8,2,0.978207627637638
SA13,8,0,0.999264202515873
SA12,6,7,0.997523620599892
SA11,6,5,0.999935978375307
SA10,6,3,0.999322822242201
SA9,6,1,0.989577312310986
SB2,4,6,0.945935882084671
SB10,4,4,0.966785290802617
SB18,4,2,1.00000028665175
SB26,4,0,0.950027340677009
SB34,2,7,0.977487892168379
SB42,2,5,0.981284030242378
SB50,2,3,0.977683358678738
SB58,2,1,0.990546731846574
SA24,7,0,0.997412465363114
SA23,7,2,0.972018869519341
SA22,7,4,0.968648476479469
SA21,7,6,0.716658951217431
SA20,5,0,0.997975200057252
SA19,5,3,0.984660363708313
SA18,5,5,0.851810975201035
SA17,5,7,0.939840736817279
SB3,3,0,0.998166977612879
SB11,3,2,0.99985380449213
SB19,3,4,0.999999891179681
SB27,3,7,0.999954445728983
SB35,1,1,0.970533393754191
SB43,1,3,1.00000028665174
SB51,1,5,0.944907609919623
SB59,1,7,0.364971748172486
SA32,7,1,0.997366315488042
SA31,7,3,1.00000028665104
SA30,7,5,0.969630784481466
SA29,7,7,0.977292228645615
SA28,5,1,0.984659860964499
SA27,5,2,0.998601994045195
SA26,5,4,0.986330240859617
SA25,5,6,0.999612989137414
SB4,3,1,0.439469382801636
SB12,3,3,0.993645196403396
SB20,3,5,0.962547704908887
SB28,3,6,0.999682091789736
SB36,1,0,0.985761878821376
SB44,1,2,0.961644378241487
SB52,1,4,0.940435628029568
SB60,1,6,0.872276579978948
SA40,16,6,0.933944955585704
SA39,16,4,0.398162731644494
SA38,16,2,0.999558421943878
SA37,16,0,0.811165522947953
SA36,14,6,0.933101719359828
SA35,14,5,0.938701490575451
SA34,14,3,0.941614795461357
SA33,14,1,0.870120367133116
SB5,12,6,1.00000028582749
SB13,12,4,0.384871690743696
SB21,12,2,0.991085446919297
SB29,12,1,0.999651522774599
SB37,10,7,0.731300446756775
SB45,10,5,0.62846918640167
SB53,10,3,0.978232694165421
SB61,10,1,0.981167863297551
SA48,16,7,0.964488817917852
SA47,16,5,0.979775206385928
SA46,16,3,0.958160216304319
SA45,16,1,0.998955147898793
SA44,14,7,0.829537724610662
SA43,14,4,1.00000028665174
SA42,14,2,0.985192156088351
SA41,14,0,0.989219249987398
SB6,12,7,0.951366170484523
SB14,12,5,1.00000028665174
SB22,12,3,0.94740937508839
SB30,12,0,0.976080513400325
SB38,10,6,0.989547193331158
SB46,10,4,0.999999146956372
SB54,10,2,1.00000028665175
SB62,10,0,0.976740878958675
SA56,15,1,1.00000028665173
SA55,15,3,1.00000028665173
SA54,15,5,1.00000028665175
SA53,15,7,1.00000028665175
SA52,13,0,1.00000028665174
SA51,13,2,0.974452843126998
SA50,13,4,0.997719034517733
SA49,13,6,0.885007502041414
SB7,11,1,0.998424441309378
SB15,11,3,0.991936131978537
SB23,11,5,0.965020257294611
SB31,11,7,1.00000027988485
SB39,9,0,1.00000027597228
SB47,9,2,0.997928555260421
SB55,9,4,0.99693707522142
SB63,9,6,0.95580398928142
SA64,15,0,1.00000028665175
SA63,15,2,1.00000028665175
SA62,15,4,1.00000028665174
SA61,15,6,1.00000028665175
SA60,13,1,0.998691718504862
SA59,13,3,0.996033680485157
SA58,13,5,0.999444084837535
SA57,13,7,0.99936926094372
SB8,11,0,0.991507308362234
SB16,11,2,0.973381215708061
SB24,11,4,0.851374823601735
SB32,11,6,0.99511370813941
SB40,9,1,0.992857285397911
SB48,9,3,0.967378938589373
SB56,9,5,0.993729127328459
SB64,9,7,0.999973063079098
