PixelName,ClaroNumber,ClaroChanNumber,Efficiency
JBB8,8,7,0.897781239569867
JBB7,8,5,0.937757761754946
JBB6,8,3,0.993702859783627
JBB5,8,1,0.948457149998585
JBB4,6,6,0.997347973942565
JBB3,6,4,0.480893861397262
JBB2,6,2,0.972363336018235
JBB1,6,0,0.5217019422415
JAB1,4,7,0.935283632677445
JAB9,4,5,0.95526275289161
JAB17,4,3,0.974544951169403
JAB25,4,1,0.929697846458022
JAB33,2,6,0.958390088727188
JAB41,2,4,0.694767396746418
JAB49,2,2,0.982751749066466
JAB57,2,0,0.970424183818323
JBB16,8,6,0.892448346720941
JBB15,8,4,0.889501360883355
JBB14,8,2,0.960150503303867
JBB13,8,0,0.920622704717032
JBB12,6,7,0.455594566356437
JBB11,6,5,0.973566421983313
JBB10,6,3,0.961846783903156
JBB9,6,1,0.427548145303064
JAB2,4,6,0.991421909545267
JAB10,4,4,0.977733086611831
JAB18,4,2,0.956179593283795
JAB26,4,0,0.945128245089106
JAB34,2,7,0.944863010038677
JAB42,2,5,0.942917785620417
JAB50,2,3,0.972762456866381
JAB58,2,1,1.00000028665174
JBB24,7,0,0.751922928059998
JBB23,7,2,0.928698676365685
JBB22,7,4,0.90344578220701
JBB21,7,6,0.974844467578798
JBB20,5,0,0.971200988498757
JBB19,5,3,0.939774612124283
JBB18,5,5,0.994502396199944
JBB17,5,7,0.955015402069043
JAB3,3,0,0.999965530010539
JAB11,3,2,0.993375696254047
JAB19,3,4,0.997060769190477
JAB27,3,7,0.500408277772461
JAB35,1,1,0.955103327882447
JAB43,1,3,0.840393397094676
JAB51,1,5,1.00000028665174
JAB59,1,7,0.909853239318748
JBB32,7,1,0.995611307511238
JBB31,7,3,0.999125712845934
JBB30,7,5,0.999740420210567
JBB29,7,7,0.991561090730543
JBB28,5,1,0.99596341639502
JBB27,5,2,0.969270297077115
JBB26,5,4,0.975951022927677
JBB25,5,6,0.972084727889169
JAB4,3,1,0.943919892217273
JAB12,3,3,0.999679969261329
JAB20,3,5,0.967468850157453
JAB28,3,6,0.955953207359095
JAB36,1,0,0.972864346070722
JAB44,1,2,0.916212271452709
JAB52,1,4,0.971741806201861
JAB60,1,6,0.974974212919028
JBB40,16,6,0.999915144305539
JBB39,16,4,0.999729380770563
JBB38,16,2,1.00000013282644
JBB37,16,0,0.537529682746424
JBB36,14,6,0.958119683069587
JBB35,14,5,0.971075965522791
JBB34,14,3,1.00000028665165
JBB33,14,1,0.999999586839577
JAB5,12,6,0.916014035449507
JAB13,12,4,0.624828222927313
JAB21,12,2,0.897487829228482
JAB29,12,1,0.879498126108906
JAB37,10,7,0.9208210629855
JAB45,10,5,0.999972638085184
JAB53,10,3,0.977849131749444
JAB61,10,1,0.949242243787101
JBB48,16,7,0.639524043283098
JBB47,16,5,0.926782750667149
JBB46,16,3,0.961969339245005
JBB45,16,1,0.983344223309454
JBB44,14,7,0.969168181821702
JBB43,14,4,0.999999965644794
JBB42,14,2,0.979658301204437
JBB41,14,0,0.865365836205939
JAB6,12,7,0.914605944540441
JAB14,12,5,0.700746608217464
JAB22,12,3,0.71786271699439
JAB30,12,0,0.818346494834048
JAB38,10,6,0.994361429094978
JAB46,10,4,0.910113035288444
JAB54,10,2,0.999999826470514
JAB62,10,0,1.00000028521963
JBB56,15,1,0.995817735156724
JBB55,15,3,0.989768017427792
JBB54,15,5,0.962434887764838
JBB53,15,7,0.986307645393519
JBB52,13,0,0.999997377614446
JBB51,13,2,0.981679828751434
JBB50,13,4,0.9995593195762
JBB49,13,6,0.971231492357077
JAB7,11,1,0.756489611771108
JAB15,11,3,0.873266237111017
JAB23,11,5,0.926655789948853
JAB31,11,7,0.990527272728344
JAB39,9,0,0.50117463661614
JAB47,9,2,0.963214376420841
JAB55,9,4,0.992776842213362
JAB63,9,6,0.993418266595117
JBB64,15,0,0.77058762520201
JBB63,15,2,0.972224389732796
JBB62,15,4,0.998896416578486
JBB61,15,6,0.801042632830848
JBB60,13,1,0.946272024977831
JBB59,13,3,0.78772541725041
JBB58,13,5,0.960353389185923
JBB57,13,7,0.999598328488866
JAB8,11,0,0.571887874083041
JAB16,11,2,0.613642706278049
JAB24,11,4,0.806778556125345
JAB32,11,6,0.889372634711821
JAB40,9,1,0.891381627886012
JAB48,9,3,0.998566516464377
JAB56,9,5,0.991310361946143
JAB64,9,7,0.986359478056764
