PixelName,ClaroNumber,ClaroChanNumber,Efficiency
JB8,8,7,0.980822217737675
JB7,8,5,0.985629806993064
JB6,8,3,0.994919116760028
JB5,8,1,0.978726493068799
JB4,6,6,0.998230784736996
JB3,6,4,0.480893861397262
JB2,6,2,0.99638969945665
JB1,6,0,0.52217868595549
JA1,4,7,0.98306820851727
JA9,4,5,0.987602621254564
JA17,4,3,0.983997186808599
JA25,4,1,0.966226384666654
JA33,2,6,0.97792804175986
JA41,2,4,0.709005537870474
JA49,2,2,0.98840497857606
JA57,2,0,0.99895556271341
JB16,8,6,0.964421822265921
JB15,8,4,0.935384688005462
JB14,8,2,0.994439136055962
JB13,8,0,0.927353354732708
JB12,6,7,0.455594566356437
JB11,6,5,0.998196247641377
JB10,6,3,0.992047549865031
JB9,6,1,0.427548145303064
JA2,4,6,0.996513598730344
JA10,4,4,0.998455476558349
JA18,4,2,0.992188110024489
JA26,4,0,0.981975574278006
JA34,2,7,0.981969846787409
JA42,2,5,0.986183621175614
JA50,2,3,0.996531956264745
JA58,2,1,1.00000028665175
JB24,7,0,0.751922928059998
JB23,7,2,0.976752562763142
JB22,7,4,0.95914727750003
JB21,7,6,0.998676219767619
JB20,5,0,0.99716021892103
JB19,5,3,0.979262700674157
JB18,5,5,0.997354424059633
JB17,5,7,0.990159410863723
JA3,3,0,0.999965530010539
JA11,3,2,0.995472699988398
JA19,3,4,0.997863012700613
JA27,3,7,0.50112924349832
JA35,1,1,0.989200615536787
JA43,1,3,0.889745826282643
JA51,1,5,1.00000028665175
JA59,1,7,0.977059904522896
JB32,7,1,0.997747474450589
JB31,7,3,0.999125712845934
JB30,7,5,0.999740420210567
JB29,7,7,0.996094478066933
JB28,5,1,0.999533791350886
JB27,5,2,0.995683421136232
JB26,5,4,0.998389685670147
JB25,5,6,0.994569678491648
JA4,3,1,0.976861211150768
JA12,3,3,0.999809731103978
JA20,3,5,0.98673714869319
JA28,3,6,0.978776939465194
JA36,1,0,0.972864346070722
JA44,1,2,0.938487184579877
JA52,1,4,0.971741806201861
JA60,1,6,0.997062996758093
JB40,16,6,0.999915144305539
JB39,16,4,0.999729380770563
JB38,16,2,1.00000013282644
JB37,16,0,0.554367694119379
JB36,14,6,0.98930074317933
JB35,14,5,0.995996316300024
JB34,14,3,1.00000028665165
JB33,14,1,0.999999586839577
JA5,12,6,0.969544090063806
JA13,12,4,0.803116260882809
JA21,12,2,0.959607852081113
JA29,12,1,0.951966795333291
JA37,10,7,0.978751190389937
JA45,10,5,0.999972638085184
JA53,10,3,0.990981535560117
JA61,10,1,0.993883195265427
JB48,16,7,0.639809315068529
JB47,16,5,0.988860087100096
JB46,16,3,0.998387064446274
JB45,16,1,0.998628961342779
JB44,14,7,0.969168181821702
JB43,14,4,0.999999965644794
JB42,14,2,0.999232392871238
JB41,14,0,0.937741774707613
JA6,12,7,0.985888787835838
JA14,12,5,0.792627882311062
JA22,12,3,0.874819185175485
JA30,12,0,0.942765068592775
JA38,10,6,0.997995648359704
JA46,10,4,0.974704411920792
JA54,10,2,0.999999826470514
JA62,10,0,1.00000028521963
JB56,15,1,0.997278433567369
JB55,15,3,0.994462381058943
JB54,15,5,0.995227794533945
JB53,15,7,0.989255334255761
JB52,13,0,0.999997377614446
JB51,13,2,0.999449766418428
JB50,13,4,0.999700870409122
JB49,13,6,0.998174403128301
JA7,11,1,0.886915531632556
JA15,11,3,0.998774643938901
JA23,11,5,0.942447322099635
JA31,11,7,0.997257858433498
JA39,9,0,0.501219884200767
JA47,9,2,0.996009087591077
JA55,9,4,0.999444741597271
JA63,9,6,0.999989706473051
JB64,15,0,0.779465069301117
JB63,15,2,0.996349160409961
JB62,15,4,0.999431357046365
JB61,15,6,0.989097061223666
JB60,13,1,0.991964994275551
JB59,13,3,0.983196062518381
JB58,13,5,0.995825708439149
JB57,13,7,0.999598328488866
JA8,11,0,0.859795201935204
JA16,11,2,0.792982929978584
JA24,11,4,0.92094432992881
JA32,11,6,0.987643083829806
JA40,9,1,1.00000028663367
JA48,9,3,0.999986728859493
JA56,9,5,0.999937976420474
JA64,9,7,0.999751714483191
