PixelName,ClaroNumber,ClaroChanNumber,Efficiency
SA8,8,7,0.999560013933973
SA7,8,5,0.999769528623767
SA6,8,3,1.00000028663178
SA5,8,1,0.99980892612981
SA4,6,6,0.869362462829479
SA3,6,4,0.972590551074841
SA2,6,2,0.997008764546396
SA1,6,0,0.931720538355074
SB1,4,7,0.992987430864402
SB9,4,5,0.956286024482332
SB17,4,3,0.999632275015327
SB25,4,1,0.999461369718004
SB33,2,6,0.978218487451243
SB41,2,4,0.958216462886649
SB49,2,2,1.000000286637
SB57,2,0,0.947493817405178
SA16,8,6,0.955253379596571
SA15,8,4,0.997820586612946
SA14,8,2,0.978207627637638
SA13,8,0,0.998474177102202
SA12,6,7,0.997523620599892
SA11,6,5,0.999483422656953
SA10,6,3,0.983780881464923
SA9,6,1,0.986577862261211
SB2,4,6,0.945935882084671
SB10,4,4,0.939017835537793
SB18,4,2,1.00000028665174
SB26,4,0,0.899089785299179
SB34,2,7,0.977487892168379
SB42,2,5,0.923782688885066
SB50,2,3,0.977683358678738
SB58,2,1,0.956253130992381
SA24,7,0,0.993819465365567
SA23,7,2,0.972018869519341
SA22,7,4,0.968648476479469
SA21,7,6,0.716658951217431
SA20,5,0,0.861815313130322
SA19,5,3,0.967157162091805
SA18,5,5,0.851810975201035
SA17,5,7,0.939840736817279
SB3,3,0,0.998166977612879
SB11,3,2,0.99985380449213
SB19,3,4,0.994475653836762
SB27,3,7,0.999954445728983
SB35,1,1,0.896597826104844
SB43,1,3,1.00000028381553
SB51,1,5,0.839373399726239
SB59,1,7,0.364971748172486
SA32,7,1,0.996538164961537
SA31,7,3,0.789170913256283
SA30,7,5,0.969128617132342
SA29,7,7,0.977292228645615
SA28,5,1,0.954679948549124
SA27,5,2,0.998601994045195
SA26,5,4,0.973797440465936
SA25,5,6,0.999612989137414
SB4,3,1,0.439469382801636
SB12,3,3,0.955031973888798
SB20,3,5,0.906341005975514
SB28,3,6,0.999682091789736
SB36,1,0,0.951967647880388
SB44,1,2,0.772150636529801
SB52,1,4,0.940435628029568
SB60,1,6,0.872276579978948
SA40,16,6,0.933944955585704
SA39,16,4,0.398162731644494
SA38,16,2,0.999558421943878
SA37,16,0,0.748472092311728
SA36,14,6,0.933101719359828
SA35,14,5,0.938701490575451
SA34,14,3,0.769294585461833
SA33,14,1,0.870120367133116
SB5,12,6,1.00000028582749
SB13,12,4,0.384871690743696
SB21,12,2,0.969961496943915
SB29,12,1,0.894684187295863
SB37,10,7,0.731300446756775
SB45,10,5,0.62846918640167
SB53,10,3,0.978232694165421
SB61,10,1,0.981167863297551
SA48,16,7,0.925634185134038
SA47,16,5,0.979775206385928
SA46,16,3,0.958160216304319
SA45,16,1,0.985459044118786
SA44,14,7,0.829537724610662
SA43,14,4,0.781992251321654
SA42,14,2,0.710001929163965
SA41,14,0,0.982337290795909
SB6,12,7,0.920191471151598
SB14,12,5,1.00000028665174
SB22,12,3,0.94740937508839
SB30,12,0,0.932522271287258
SB38,10,6,0.935606379866368
SB46,10,4,0.999999146956372
SB54,10,2,1.00000028665174
SB62,10,0,0.967868252909376
SA56,15,1,1.00000028665174
SA55,15,3,1.00000028665174
SA54,15,5,1.00000028665174
SA53,15,7,1.00000028665174
SA52,13,0,1.00000028665174
SA51,13,2,0.974452843126998
SA50,13,4,0.991738138967988
SA49,13,6,0.885007502041414
SB7,11,1,0.985450665901887
SB15,11,3,0.91191441820477
SB23,11,5,0.905254625586531
SB31,11,7,1.00000027907067
SB39,9,0,1.00000026565382
SB47,9,2,0.989386508458801
SB55,9,4,0.957187827555552
SB63,9,6,0.841373875486352
SA64,15,0,1.00000028665174
SA63,15,2,1.00000028665174
SA62,15,4,1.00000028656399
SA61,15,6,1.00000028665174
SA60,13,1,0.872844365140019
SA59,13,3,0.996033680485157
SA58,13,5,0.994808457393156
SA57,13,7,0.998386892506374
SB8,11,0,0.972284467486095
SB16,11,2,0.769561421011328
SB24,11,4,0.851374823601735
SB32,11,6,0.987333151404578
SB40,9,1,0.975158324586857
SB48,9,3,0.967378938589373
SB56,9,5,0.960564538823142
SB64,9,7,0.999973063079098
