PixelName,ClaroNumber,ClaroChanNumber,Efficiency
SAB8,8,7,0.999560013933973
SAB7,8,5,0.999769528623767
SAB6,8,3,1.00000028663178
SAB5,8,1,0.99980892612981
SAB4,6,6,0.869362462829479
SAB3,6,4,0.972590551074841
SAB2,6,2,0.997008764546396
SAB1,6,0,0.931720538355074
SBB1,4,7,0.992987430864402
SBB9,4,5,0.956286024482332
SBB17,4,3,0.999632275015327
SBB25,4,1,0.999461369718004
SBB33,2,6,0.978218487451243
SBB41,2,4,0.958216462886649
SBB49,2,2,1.000000286637
SBB57,2,0,0.947493817405178
SAB16,8,6,0.955253379596571
SAB15,8,4,0.997820586612946
SAB14,8,2,0.978207627637638
SAB13,8,0,0.998474177102202
SAB12,6,7,0.997523620599892
SAB11,6,5,0.999483422656953
SAB10,6,3,0.983780881464923
SAB9,6,1,0.986577862261211
SBB2,4,6,0.945935882084671
SBB10,4,4,0.939017835537793
SBB18,4,2,1.00000028665174
SBB26,4,0,0.899089785299179
SBB34,2,7,0.977487892168379
SBB42,2,5,0.923782688885066
SBB50,2,3,0.977683358678738
SBB58,2,1,0.956253130992381
SAB24,7,0,0.993819465365567
SAB23,7,2,0.972018869519341
SAB22,7,4,0.968648476479469
SAB21,7,6,0.716658951217431
SAB20,5,0,0.861815313130322
SAB19,5,3,0.967157162091805
SAB18,5,5,0.851810975201035
SAB17,5,7,0.939840736817279
SBB3,3,0,0.998166977612879
SBB11,3,2,0.99985380449213
SBB19,3,4,0.994475653836762
SBB27,3,7,0.999954445728983
SBB35,1,1,0.896597826104844
SBB43,1,3,1.00000028381553
SBB51,1,5,0.839373399726239
SBB59,1,7,0.364971748172486
SAB32,7,1,0.996538164961537
SAB31,7,3,0.789170913256283
SAB30,7,5,0.969128617132342
SAB29,7,7,0.977292228645615
SAB28,5,1,0.954679948549124
SAB27,5,2,0.998601994045195
SAB26,5,4,0.973797440465936
SAB25,5,6,0.999612989137414
SBB4,3,1,0.439469382801636
SBB12,3,3,0.955031973888798
SBB20,3,5,0.906341005975514
SBB28,3,6,0.999682091789736
SBB36,1,0,0.951967647880388
SBB44,1,2,0.772150636529801
SBB52,1,4,0.940435628029568
SBB60,1,6,0.872276579978948
SAB40,16,6,0.933944955585704
SAB39,16,4,0.398162731644494
SAB38,16,2,0.999558421943878
SAB37,16,0,0.748472092311728
SAB36,14,6,0.933101719359828
SAB35,14,5,0.938701490575451
SAB34,14,3,0.769294585461833
SAB33,14,1,0.870120367133116
SBB5,12,6,1.00000028582749
SBB13,12,4,0.384871690743696
SBB21,12,2,0.969961496943915
SBB29,12,1,0.894684187295863
SBB37,10,7,0.731300446756775
SBB45,10,5,0.62846918640167
SBB53,10,3,0.978232694165421
SBB61,10,1,0.981167863297551
SAB48,16,7,0.925634185134038
SAB47,16,5,0.979775206385928
SAB46,16,3,0.958160216304319
SAB45,16,1,0.985459044118786
SAB44,14,7,0.829537724610662
SAB43,14,4,0.781992251321654
SAB42,14,2,0.710001929163965
SAB41,14,0,0.982337290795909
SBB6,12,7,0.920191471151598
SBB14,12,5,1.00000028665174
SBB22,12,3,0.94740937508839
SBB30,12,0,0.932522271287258
SBB38,10,6,0.935606379866368
SBB46,10,4,0.999999146956372
SBB54,10,2,1.00000028665174
SBB62,10,0,0.967868252909376
SAB56,15,1,1.00000028665174
SAB55,15,3,1.00000028665174
SAB54,15,5,1.00000028665174
SAB53,15,7,1.00000028665174
SAB52,13,0,1.00000028665174
SAB51,13,2,0.974452843126998
SAB50,13,4,0.991738138967988
SAB49,13,6,0.885007502041414
SBB7,11,1,0.985450665901887
SBB15,11,3,0.91191441820477
SBB23,11,5,0.905254625586531
SBB31,11,7,1.00000027907067
SBB39,9,0,1.00000026565382
SBB47,9,2,0.989386508458801
SBB55,9,4,0.957187827555552
SBB63,9,6,0.841373875486352
SAB64,15,0,1.00000028665174
SAB63,15,2,1.00000028665174
SAB62,15,4,1.00000028656399
SAB61,15,6,1.00000028665174
SAB60,13,1,0.872844365140019
SAB59,13,3,0.996033680485157
SAB58,13,5,0.994808457393156
SAB57,13,7,0.998386892506374
SBB8,11,0,0.972284467486095
SBB16,11,2,0.769561421011328
SBB24,11,4,0.851374823601735
SBB32,11,6,0.987333151404578
SBB40,9,1,0.975158324586857
SBB48,9,3,0.967378938589373
SBB56,9,5,0.960564538823142
SBB64,9,7,0.999973063079098
