PixelName,ClaroNumber,ClaroChanNumber,Efficiency
SA8,8,7,1.0
SA7,8,5,1.0
SA6,8,3,1.0
SA5,8,1,1.0
SA4,6,6,1.0
SA3,6,4,1.0
SA2,6,2,1.0
SA1,6,0,1.0
SB1,4,7,1.0
SB9,4,5,1.0
SB17,4,3,1.0
SB25,4,1,1.0
SB33,2,6,1.0
SB41,2,4,1.0
SB49,2,2,1.0
SB57,2,0,1.0
SA16,8,6,1.0
SA15,8,4,1.0
SA14,8,2,1.0
SA13,8,0,1.0
SA12,6,7,1.0
SA11,6,5,1.0
0A10,6,3,1.0
SA9,6,1,1.0
SB2,4,6,1.0
SB10,4,4,1.0
SB18,4,2,1.0
SB26,4,0,1.0
SB34,2,7,1.0
SB42,2,5,1.0
SB50,2,3,1.0
SB58,2,1,1.0
SA24,7,0,1.0
SA23,7,2,1.0
SA22,7,4,1.0
SA21,7,6,1.0
SA20,5,0,1.0
SA19,5,3,1.0
SA18,5,5,1.0
SA17,5,7,1.0
SB3,3,0,1.0
SB11,3,2,1.0
SB19,3,4,1.0
SB27,3,7,1.0
SB35,1,1,1.0
SB43,1,3,1.0
SB51,1,5,1.0
SB59,1,7,1.0
SA32,7,1,1.0
SA31,7,3,1.0
SA30,7,5,1.0
SA29,7,7,1.0
SA28,5,1,1.0
SA27,5,2,1.0
SA26,5,4,1.0
SA25,5,6,1.0
SB4,3,1,1.0
SB12,3,3,1.0
SB20,3,5,1.0
SB28,3,6,1.0
SB36,1,0,1.0
SB44,1,2,1.0
SB52,1,4,1.0
SB60,1,6,1.0
SA40,16,6,1.0
SA39,16,4,1.0
SA38,16,2,1.0
SA37,16,0,1.0
SA36,14,6,1.0
SA35,14,5,1.0
SA34,14,3,1.0
SA33,14,1,1.0
SB5,12,6,1.0
SB13,12,4,1.0
SB21,12,2,1.0
SB29,12,1,1.0
SB37,10,7,1.0
SB45,10,5,1.0
SB53,10,3,1.0
SB61,10,1,1.0
SA48,16,7,1.0
SA47,16,5,1.0
SA46,16,3,1.0
SA45,16,1,1.0
SA44,14,7,1.0
SA43,14,4,1.0
SA42,14,2,1.0
SA41,14,0,1.0
SB6,12,7,1.0
SB14,12,5,1.0
SB22,12,3,1.0
SB30,12,0,1.0
SB38,10,6,1.0
SB46,10,4,1.0
SB54,10,2,1.0
SB62,10,0,1.0
SA56,15,1,1.0
SA55,15,3,1.0
SA54,15,5,1.0
SA53,15,7,1.0
SA52,13,0,1.0
SA51,13,2,1.0
SA50,13,4,1.0
SA49,13,6,1.0
SB7,11,1,1.0
SB15,11,3,1.0
SB23,11,5,1.0
SB31,11,7,1.0
SB39,9,0,1.0
SB47,9,2,1.0
SB55,9,4,1.0
SB63,9,6,1.0
SA64,15,0,1.0
SA63,15,2,1.0
SA62,15,4,1.0
SA61,15,6,1.0
SA60,13,1,1.0
SA59,13,3,1.0
SA58,13,5,1.0
SA57,13,7,1.0
SB8,11,0,1.0
SB16,11,2,1.0
SB24,11,4,1.0
SB32,11,6,1.0
SB40,9,1,1.0
SB48,9,3,1.0
SB56,9,5,1.0
SB64,9,7,1.0
